Date,Open,High,Low,Close,Adj Close,Volume
2014-04-14,122.589996,129.240005,122.589996,127.930000,127.930000,0
2014-04-21,119.110001,126.510002,119.110001,121.949997,121.949997,0
2014-04-28,123.690002,124.900002,123.440002,124.129997,124.129997,0
2014-05-05,123.559998,125.599998,121.180000,125.599998,125.599998,0
2014-05-12,125.279999,127.230003,122.750000,127.230003,127.230003,0
2014-05-19,128.179993,128.179993,123.680000,125.129997,125.129997,0
2014-05-26,123.639999,125.809998,123.639999,124.230003,124.230003,0
2014-06-02,123.330002,123.330002,121.480003,122.879997,122.879997,0
2014-06-09,124.669998,127.820000,124.669998,127.779999,127.779999,0
2014-06-16,127.669998,143.259995,127.669998,143.259995,143.259995,0
2014-06-23,139.410004,139.410004,131.820007,135.360001,135.360001,0
2014-06-30,139.350006,142.279999,139.350006,142.279999,142.279999,0
2014-07-07,137.759995,138.740005,134.199997,138.740005,138.740005,0
2014-07-14,139.940002,141.190002,131.649994,141.190002,141.190002,0
2014-07-21,138.750000,138.750000,132.550003,135.259995,135.259995,0
2014-07-28,135.020004,135.020004,128.710007,128.929993,128.929993,0
2014-08-04,126.860001,126.860001,120.360001,120.360001,120.360001,0
2014-08-11,124.239998,135.429993,123.690002,135.429993,135.429993,0
2014-08-18,138.460007,138.690002,135.100006,135.100006,135.100006,0
2014-08-25,135.419998,137.949997,127.010002,127.010002,127.010002,0
2014-09-01,131.720001,137.490005,130.149994,137.490005,137.490005,0
2014-09-08,132.910004,136.880005,127.370003,127.370003,127.370003,0
2014-09-15,127.089996,146.080002,126.809998,146.080002,146.080002,0
2014-09-22,139.850006,139.850006,126.900002,130.490005,130.490005,0
2014-09-29,131.669998,131.669998,122.529999,122.529999,122.529999,0
2014-10-06,126.959999,130.820007,120.849998,130.820007,130.820007,0
2014-10-13,130.360001,131.710007,111.309998,131.710007,131.710007,0
2014-10-20,120.620003,129.179993,120.620003,125.570000,125.570000,0
2014-10-27,123.769997,127.559998,121.019997,124.750000,124.750000,0
2014-11-03,124.639999,127.080002,124.190002,127.080002,127.080002,0
2014-11-10,130.509995,130.509995,125.709999,128.679993,128.679993,0
2014-11-17,123.690002,138.460007,123.690002,138.460007,138.460007,0
2014-11-24,140.179993,140.179993,126.269997,131.889999,131.889999,0
2014-12-01,127.949997,134.440002,121.639999,131.410004,131.410004,0
2014-12-08,137.619995,137.619995,130.729996,131.470001,131.470001,0
2014-12-15,135.119995,138.630005,125.480003,138.630005,138.630005,0
2014-12-22,136.610001,136.929993,135.029999,135.029999,135.029999,0
2014-12-29,127.599998,136.389999,127.599998,128.660004,128.660004,0
2015-01-05,127.790001,127.790001,121.690002,121.690002,121.690002,0
2015-01-12,121.089996,132.660004,120.769997,131.389999,131.389999,0
2015-01-19,123.629997,139.130005,123.629997,132.089996,132.089996,0
2015-01-26,135.020004,135.020004,123.760002,125.360001,125.360001,0
2015-02-02,129.979996,129.979996,125.620003,125.620003,125.620003,0
2015-02-09,129.850006,129.949997,126.040001,126.040001,126.040001,0
2015-02-16,127.419998,131.300003,125.239998,125.239998,125.239998,0
2015-02-23,134.660004,136.330002,126.199997,126.400002,126.400002,0
2015-03-02,126.010002,127.889999,123.089996,124.650002,124.650002,0
2015-03-09,124.160004,124.160004,120.599998,120.599998,120.599998,0
2015-03-16,122.830002,131.089996,122.830002,131.089996,131.089996,0
2015-03-23,127.120003,127.120003,121.800003,121.800003,121.800003,0
2015-03-30,122.690002,122.690002,119.919998,119.919998,119.919998,0
2015-04-06,120.050003,127.220001,120.050003,127.220001,127.220001,0
2015-04-13,117.459999,123.639999,117.459999,122.239998,122.239998,0
2015-04-20,124.160004,124.160004,119.949997,119.949997,119.949997,0
2015-04-27,122.839996,125.360001,115.959999,122.370003,122.370003,0
2015-05-04,121.680000,122.930000,119.739998,122.930000,122.930000,0
2015-05-11,115.959999,127.629997,115.959999,127.559998,127.559998,0
2015-05-18,126.910004,126.910004,121.110001,124.860001,124.860001,0
2015-05-25,123.059998,125.370003,122.500000,122.500000,122.500000,0
2015-06-01,122.430000,124.589996,119.620003,119.620003,119.620003,0
2015-06-08,118.330002,125.320000,118.330002,119.260002,119.260002,0
2015-06-15,119.250000,120.230003,119.089996,119.500000,119.500000,0
2015-06-22,120.519997,123.070000,119.519997,123.070000,123.070000,0
2015-06-29,124.540001,124.540001,120.139999,121.519997,121.519997,0
2015-07-06,118.680000,120.339996,117.370003,118.519997,118.519997,0
2015-07-13,121.570000,127.910004,121.570000,127.910004,127.910004,0
2015-07-20,125.059998,130.419998,123.180000,126.320000,126.320000,0
2015-07-27,126.669998,126.669998,121.029999,124.199997,124.199997,0
2015-08-03,119.320000,126.089996,117.820000,117.820000,117.820000,0
2015-08-10,121.540001,124.370003,119.370003,119.370003,119.370003,0
2015-08-17,120.269997,124.339996,118.760002,118.760002,118.760002,0
2015-08-24,129.460007,130.380005,124.349998,130.380005,130.380005,0
2015-08-31,129.360001,142.190002,125.349998,142.190002,142.190002,0
2015-09-07,132.369995,137.029999,118.180000,118.180000,118.180000,0
2015-09-14,142.929993,142.929993,119.470001,119.470001,119.470001,0
2015-09-21,135.449997,136.710007,134.029999,135.160004,135.160004,0
2015-09-28,134.179993,136.710007,113.900002,115.750000,115.750000,0
2015-10-05,132.830002,136.690002,129.320007,134.660004,134.660004,0
2015-10-12,148.919998,151.220001,133.809998,135.039993,135.039993,0
2015-10-19,139.919998,140.699997,121.019997,135.619995,135.619995,0
2015-10-26,132.289993,134.639999,125.769997,125.769997,125.769997,0
2015-11-02,138.779999,138.779999,134.440002,137.750000,137.750000,0
2015-11-09,134.339996,139.500000,132.240005,139.500000,139.500000,0
2015-11-16,131.770004,139.169998,126.860001,126.860001,126.860001,0
2015-11-23,139.509995,139.509995,137.660004,137.660004,137.660004,0
2015-11-30,127.250000,136.309998,127.250000,136.309998,136.309998,0
